ISIN,coupon,issue date,maturity date,2022-01-10 00:00:00,2022-01-11 00:00:00,2022-01-12 00:00:00,2022-01-13 00:00:00,2022-01-14 00:00:00,2022-01-17 00:00:00,2022-01-18 00:00:00,2022-01-19 00:00:00,2022-01-20 00:00:00,2022-01-21 00:00:00
CA135087K866,0.015,2020-01-27,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA135087L369,0.0025,2020-08-17,2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA135087L856,0.0025,2021-02-05,2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA135087M763,0.005,2021-08-09,2023-11-01,0.012877253293924794,0.012870834389160684,0.012966946816967199,0.013162980268157182,0.013258814230615548,0.014056662447137665,0.014357370855145109,0.014756753286426769,0.014748517680335181,0.014433697070569958
CA135087J546,0.0225,2018-10-05,2024-03-01,0.013479853397415486,0.013359839111295397,0.013542224385082884,0.013801526171559568,0.013906341270453839,0.014671863603929107,0.015001748281905758,0.015189677519640683,0.015377625590964897,0.014888591133609762
CA135087J967,0.015,2019-04-05,2024-09-01,0.014844309354662657,0.014377887446701224,0.014300552574775279,0.014501859441881105,0.014703812930165061,0.01552938155499399,0.015785303012960192,0.016213339549880704,0.016136756647007117,0.01573135363824808
CA135087K528,0.0125,2019-10-11,2025-03-01,0.015542507918459972,0.01535501714839923,0.015520291277482797,0.015594007021388823,0.015936011577703066,0.016647532909698268,0.017078528489034656,0.017196291380252974,0.017272601954578908,0.016684588217888128
CA135087K940,0.005,2020-04-03,2025-09-01,0.01619274765159515,0.01593305487048085,0.01567274538330131,0.015668999121235216,0.015926393660198955,0.01658914394646409,0.01710840136967766,0.01758602538935615,0.017470034175231738,0.017131822150035968
CA135087L518,0.0025,2020-10-09,2026-03-01,0.01626555656794346,0.01604477792052307,0.016143047610186416,0.016078799096760747,0.016335542342868777,0.017045006629755482,0.01765622309633081,0.017812086982942028,0.017778327018541647,0.01729489144308914
CA135087L930,0.01,2021-04-16,2026-09-01,0.016692038363664438,0.016551495478553058,0.01657443569232921,0.016511548395906156,0.016725420737265243,0.017480483100560783,0.018000452301768378,0.01821273383838694,0.0181221430274628,0.017590494517203566
